Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
4;4;3;12;59;1369766;41.97781;
5;4;3;12;66;1675104;40.92914;
6;4;3;12;43;1174175;40.465317;
7;4;3;12;40;1088542;40.92914;
8;4;3;12;71;1837511;42.265472;
9;4;3;12;41;1291628;40.465317;
10;4;3;12;62;1735298;42.157646;
11;4;3;12;26;998582;42.144176;
12;4;3;12;37;1278553;41.532112;
13;4;3;12;31;1147986;41.59551;
14;4;3;12;57;1791905;40.92914;
15;4;3;12;16;1012659;40.315277;
16;4;3;12;72;2241016;40.378162;
17;4;3;12;66;2227510;41.904842;
18;4;3;12;51;1905210;42.317394;
19;4;3;12;67;2319565;41.235718;
20;4;3;12;86;2735603;41.297413;
21;4;3;12;30;1518878;41.532112;
22;4;3;12;35;1649535;41.317387;
1;4;4;16;172;5408017;90.02437;
2;4;4;16;130;4188055;88.98351;
3;4;4;16;125;3468162;91.64643;
4;4;4;16;149;4025307;91.57676;
5;4;4;16;117;3160328;88.98351;
6;4;4;16;218;6355763;90.955414;
7;4;4;16;103;3062823;92.68309;
8;4;4;16;107;3010825;90.02813;
9;4;4;16;143;4210639;91.94126;
10;4;4;16;126;3681055;91.76109;
11;4;4;16;112;3278592;92.20364;
12;4;4;16;155;4354662;90.880745;
13;4;4;16;101;3131454;90.77767;
14;4;4;16;171;5282389;90.529625;
15;4;4;16;61;2318844;91.33554;
16;4;4;16;135;4458227;91.265434;
17;4;4;16;125;4223223;89.877525;
18;4;4;16;216;7116054;91.11859;
19;4;4;16;93;3551579;90.78165;
20;4;4;16;106;4023574;90.98048;
21;4;4;16;130;4793012;89.85546;
22;4;4;16;50;2452647;92.8338;
1;4;5;20;304;15837119;169.82976;
2;4;5;20;189;7039980;168.6717;
3;4;5;20;381;15481966;171.24333;
4;4;5;20;261;9185725;174.22668;
5;4;5;20;239;8264660;171.61575;
6;4;5;20;135;4417330;171.22739;
7;4;5;20;327;11429526;174.4693;
8;4;5;20;494;15351248;172.29951;
9;4;5;20;290;10152437;169.37317;
10;4;5;20;162;5394121;172.13493;
11;4;5;20;170;5672368;170.59494;
12;4;5;20;275;9657008;171.4541;
13;4;5;20;223;7304871;170.4606;
14;4;5;20;212;6972632;171.57549;
15;4;5;20;247;8511087;174.40543;
16;4;5;20;209;7593007;173.46361;
17;4;5;20;339;12102191;170.60907;
18;4;5;20;317;11853560;170.55626;
19;4;5;20;144;5643694;172.16516;
20;4;5;20;213;8777361;169.59521;
21;4;5;20;348;12761250;171.3233;
22;4;5;20;275;10239201;172.80844;
1;4;6;24;318;27894254;313.81473;
2;4;6;24;487;31511969;314.95328;
3;4;6;24;437;24832052;312.1745;
4;4;6;24;414;20552393;308.30106;
5;4;6;24;380;16618739;311.19504;
6;4;6;24;282;11556587;307.77383;
7;4;6;24;307;13397726;307.82336;
8;4;6;24;371;15049656;309.8734;
9;4;6;24;547;22252645;311.25024;
10;4;6;24;364;15198348;309.55127;
11;4;6;24;384;14668454;309.63336;
12;4;6;24;419;16361191;310.1368;
13;4;6;24;483;19241359;307.3966;
14;4;6;24;265;10428200;306.97403;
15;4;6;24;156;6600055;308.4874;
16;4;6;24;527;20950056;308.86188;
17;4;6;24;505;20572020;309.59808;
18;4;6;24;557;22903258;311.49628;
19;4;6;24;316;13230719;309.2787;
20;4;6;24;632;25875860;310.16898;
21;4;6;24;357;15646016;311.34927;
22;4;6;24;500;20954715;307.8926;
1;4;7;28;440;60787490;438.26785;
2;4;7;28;799;74263054;435.9803;
3;4;7;28;430;33763375;435.04276;
4;4;7;28;695;45788620;438.65073;
5;4;7;28;412;23865460;436.76334;
6;4;7;28;748;40300832;433.29727;
7;4;7;28;1165;59969821;434.3388;
8;4;7;28;633;32192539;436.12222;
9;4;7;28;581;27299477;435.95135;
10;4;7;28;684;34884670;435.8769;
11;4;7;28;607;27971651;435.65744;
12;4;7;28;750;37177033;436.61334;
13;4;7;28;824;38692535;435.11743;
14;4;7;28;650;30511624;435.80542;
15;4;7;28;379;17911038;435.61774;
16;4;7;28;548;25521538;438.05127;
17;4;7;28;473;22323669;438.95184;
18;4;7;28;606;28595523;435.347;
19;4;7;28;669;29912739;431.30106;
20;4;7;28;398;18507668;438.34958;
21;4;7;28;691;31373567;432.72946;
22;4;7;28;621;28915449;435.30884;
1;4;8;32;1055;220063837;660.8218;
2;4;8;32;755;103813586;661.8806;
3;4;8;32;1106;118745629;666.08215;
4;4;8;32;507;47696115;655.3374;
5;4;8;32;876;66480027;659.77734;
6;4;8;32;1008;69623933;661.2205;
7;4;8;32;882;58452275;666.6997;
8;4;8;32;1248;81487092;654.57587;
9;4;8;32;638;36602404;666.68726;
10;4;8;32;1055;62941051;654.93744;
11;4;8;32;1032;61000814;658.6641;
12;4;8;32;871;53642682;667.0537;
13;4;8;32;1092;63985660;653.5783;
14;4;8;32;577;37111369;663.2534;
15;4;8;32;656;39826133;656.81055;
16;4;8;32;763;43047696;657.0905;
17;4;8;32;1206;70521324;657.0957;
